Source,Target,Type,Id,Label,timeset,Weight
828254,111220082,Undirected,349,,,2
828254,113982692,Undirected,350,,,2
828254,114762632,Undirected,351,,,2
828254,116570144,Undirected,352,,,2
828254,119280378,Undirected,353,,,2
828254,124241430,Undirected,354,,,2
828254,125598382,Undirected,355,,,2
828254,125663817,Undirected,356,,,2
828254,136278987,Undirected,357,,,2
828254,137906902,Undirected,358,,,2
828254,138272723,Undirected,359,,,2
828254,146992144,Undirected,360,,,2
828254,148391191,Undirected,361,,,2
828254,153417406,Undirected,362,,,2
828254,154794974,Undirected,363,,,2
828254,157965039,Undirected,364,,,2
828254,159215225,Undirected,365,,,2
828254,164043781,Undirected,366,,,2
828254,174031945,Undirected,368,,,2
828254,175247118,Undirected,370,,,2
828254,179791838,Undirected,371,,,2
828254,185242892,Undirected,372,,,2
828254,187799339,Undirected,373,,,2
828254,199888637,Undirected,374,,,2
828254,217540662,Undirected,375,,,2
828254,250439274,Undirected,377,,,2
828254,252291653,Undirected,378,,,2
828254,254462247,Undirected,379,,,2
828254,270723014,Undirected,380,,,2
828254,275217222,Undirected,381,,,2
828254,329825021,Undirected,382,,,2
828254,362005396,Undirected,383,,,2
829182,914519,Undirected,387,,,2
829182,1020267,Undirected,388,,,2
829182,1138273,Undirected,389,,,2
829182,1417699,Undirected,390,,,2
829182,1430840,Undirected,391,,,2
829182,1638025,Undirected,392,,,2
829182,2039463,Undirected,393,,,2
829182,2584344,Undirected,394,,,2
829182,2841269,Undirected,395,,,2
829182,2945452,Undirected,396,,,2
829182,5477798,Undirected,397,,,2
829182,6048636,Undirected,398,,,2
829182,8444486,Undirected,399,,,2
829182,9429899,Undirected,400,,,1
829182,9472148,Undirected,401,,,2
829182,12018504,Undirected,403,,,2
829182,16644079,Undirected,404,,,2
829182,20811923,Undirected,405,,,2
829182,31136124,Undirected,406,,,2
829182,32800894,Undirected,407,,,2
829182,44514142,Undirected,408,,,2
829182,48850658,Undirected,409,,,2
829182,52148726,Undirected,410,,,2
829182,111220082,Undirected,411,,,2
829182,154794974,Undirected,412,,,2
829182,179791838,Undirected,413,,,2
829182,206024122,Undirected,414,,,2
914519,1430840,Undirected,420,,,2
914519,1638025,Undirected,421,,,2
914519,4722827,Undirected,422,,,2
914519,5206504,Undirected,423,,,2
914519,7429309,Undirected,424,,,2
914519,7970920,Undirected,425,,,2
914519,8444486,Undirected,426,,,2
914519,8558807,Undirected,427,,,2
914519,10662748,Undirected,428,,,1
914519,10691905,Undirected,429,,,2
914519,11868865,Undirected,430,,,2
914519,16807958,Undirected,431,,,2
914519,19745720,Undirected,432,,,2
914519,20113344,Undirected,433,,,2
914519,25706119,Undirected,434,,,2
914519,36308001,Undirected,435,,,2
914519,81679642,Undirected,436,,,2
914519,152055761,Undirected,437,,,2
914519,164043781,Undirected,438,,,2
914519,252291653,Undirected,439,,,2
914519,254462247,Undirected,440,,,2
935120,1477319,Undirected,442,,,2
935120,1671972,Undirected,443,,,2
935120,2416686,Undirected,444,,,2
935120,2670641,Undirected,445,,,2
935120,2956619,Undirected,446,,,2
935120,2989958,Undirected,447,,,2
935120,3899987,Undirected,448,,,2
935120,4140164,Undirected,449,,,2
935120,6272616,Undirected,450,,,2
935120,7429309,Undirected,451,,,2
935120,7839744,Undirected,452,,,2
935120,9166624,Undirected,453,,,1
935120,12245321,Undirected,454,,,2
935120,17958998,Undirected,455,,,2
935120,19233127,Undirected,456,,,2
935120,31711970,Undirected,457,,,2
935120,34950276,Undirected,458,,,2
935120,42695212,Undirected,459,,,2
935120,49828958,Undirected,460,,,1
935120,50639623,Undirected,461,,,2
935120,56923075,Undirected,462,,,2
935120,86923289,Undirected,463,,,2
935120,141910035,Undirected,464,,,2
935120,192987890,Undirected,465,,,2
935120,234656172,Undirected,466,,,2
1020267,1395821,Undirected,472,,,2
1020267,1417699,Undirected,473,,,2
1020267,1425541,Undirected,474,,,2
1020267,1430840,Undirected,475,,,2
1020267,1638025,Undirected,476,,,2
1020267,1679574,Undirected,477,,,2
1020267,1736064,Undirected,478,,,2
1020267,2066204,Undirected,479,,,2
1020267,2584344,Undirected,480,,,2
1020267,2945452,Undirected,481,,,2
1020267,4128073,Undirected,482,,,2
1020267,4476572,Undirected,483,,,1
1020267,6048636,Undirected,484,,,2
1020267,6052376,Undirected,485,,,2
1020267,6248010,Undirected,486,,,2
1020267,6511037,Undirected,487,,,2
1020267,7424702,Undirected,488,,,2
1020267,8444486,Undirected,489,,,2
1020267,8558807,Undirected,490,,,2
1020267,11338980,Undirected,491,,,2
1020267,12256640,Undirected,492,,,2
1020267,12374632,Undirected,493,,,2
1020267,13163358,Undirected,494,,,2
1020267,13607329,Undirected,495,,,1
1020267,13914875,Undirected,496,,,2
1020267,16644079,Undirected,497,,,2
1020267,16787233,Undirected,498,,,2
1020267,17272058,Undirected,499,,,2
1020267,17890829,Undirected,500,,,2
1020267,18067224,Undirected,501,,,2
1020267,20323165,Undirected,502,,,2
1020267,20811923,Undirected,503,,,2
1020267,21714861,Undirected,504,,,2
1020267,23935056,Undirected,505,,,2
1020267,28761206,Undirected,506,,,2
1020267,36308001,Undirected,507,,,2
1020267,38568712,Undirected,508,,,2
1020267,49646600,Undirected,509,,,2
1020267,54868369,Undirected,510,,,2
1020267,84871896,Undirected,511,,,2
1020267,85036573,Undirected,512,,,2
1020267,108393518,Undirected,513,,,2
1020267,116570144,Undirected,514,,,2
1020267,126775143,Undirected,515,,,2
1020267,146939479,Undirected,516,,,2
1020267,252291653,Undirected,517,,,2
1020267,287641708,Undirected,518,,,2
1080090,19296294,Undirected,519,,,2
1080090,79993521,Undirected,520,,,2
1080090,92102535,Undirected,521,,,2
1121882,1477319,Undirected,523,,,2
1121882,1587908,Undirected,524,,,2
1121882,1671972,Undirected,525,,,2
1121882,2416686,Undirected,526,,,2
1121882,2956619,Undirected,527,,,2
1121882,2989958,Undirected,528,,,2
1121882,3667945,Undirected,529,,,2
1121882,3899987,Undirected,530,,,2
1121882,4140164,Undirected,531,,,2
1121882,5025952,Undirected,532,,,2
1121882,7429309,Undirected,533,,,2
1121882,7839744,Undirected,534,,,2
1121882,7970920,Undirected,535,,,2
1121882,9166624,Undirected,536,,,1
1121882,12245321,Undirected,537,,,2
1121882,17958998,Undirected,538,,,2
1121882,34314319,Undirected,539,,,2
1121882,34950276,Undirected,540,,,2
1121882,41602147,Undirected,541,,,2
1121882,42695212,Undirected,542,,,2
1121882,49828958,Undirected,543,,,2
1121882,50639623,Undirected,544,,,2
1121882,56923075,Undirected,545,,,2
1121882,86923289,Undirected,546,,,2
1121882,105662580,Undirected,547,,,2
1121882,141910035,Undirected,548,,,2
1121882,198589297,Undirected,550,,,2
1121882,234656172,Undirected,551,,,2
1121882,266856881,Undirected,552,,,2
1138273,1395821,Undirected,556,,,2
1138273,1417699,Undirected,557,,,2
1138273,1425541,Undirected,558,,,2
1138273,1430840,Undirected,559,,,2
1138273,1638025,Undirected,560,,,2
1138273,2039463,Undirected,561,,,2
1138273,2841269,Undirected,562,,,2
1138273,7424702,Undirected,563,,,2
1138273,7982586,Undirected,564,,,2
1138273,9429899,Undirected,565,,,1
1138273,11027885,Undirected,566,,,2
1138273,12245321,Undirected,567,,,2
1138273,13163358,Undirected,568,,,2
1138273,19136808,Undirected,570,,,2
1138273,19317051,Undirected,571,,,2
1138273,20811923,Undirected,572,,,2
1138273,44514142,Undirected,573,,,2
1138273,137906902,Undirected,574,,,2
1138273,146939479,Undirected,575,,,2
1374462,3344003,Undirected,577,,,2
1374462,6264041,Undirected,578,,,2
1374462,19745720,Undirected,579,,,2
1374462,320653928,Undirected,580,,,2
1395821,1417699,Undirected,585,,,2
1395821,1425541,Undirected,586,,,2
1395821,1430840,Undirected,587,,,2
1395821,1638025,Undirected,588,,,2
1395821,1679574,Undirected,589,,,2
1395821,1736064,Undirected,590,,,2
1395821,2039463,Undirected,591,,,2
1395821,2066204,Undirected,592,,,2
1395821,2097721,Undirected,593,,,2
1395821,2804662,Undirected,594,,,2
1395821,2841269,Undirected,595,,,2
1395821,2945452,Undirected,596,,,2
1395821,2953646,Undirected,597,,,2
1395821,3768701,Undirected,598,,,1
1395821,4128073,Undirected,599,,,2
1395821,4172255,Undirected,600,,,2
1395821,4197617,Undirected,601,,,2
1395821,4789687,Undirected,602,,,2
1395821,5881506,Undirected,603,,,2
1395821,6048636,Undirected,604,,,2
1395821,6154817,Undirected,605,,,2
1395821,6511037,Undirected,606,,,2
1395821,7018634,Undirected,607,,,2
1395821,7424702,Undirected,608,,,2
1395821,7970920,Undirected,609,,,2
1395821,7982586,Undirected,610,,,2
1395821,8444486,Undirected,611,,,2
1395821,8558807,Undirected,612,,,2
1395821,9429899,Undirected,613,,,1
1395821,9472148,Undirected,614,,,2
1395821,10691905,Undirected,615,,,2
1395821,11027885,Undirected,616,,,2
1395821,11582259,Undirected,617,,,2
1395821,12014421,Undirected,618,,,2
1395821,12018504,Undirected,619,,,2
1395821,12245321,Undirected,620,,,2
1395821,13329095,Undirected,621,,,2
1395821,13675701,Undirected,622,,,2
1395821,15429661,Undirected,623,,,2
1395821,16644079,Undirected,624,,,2
1395821,16807958,Undirected,625,,,2
1395821,17890829,Undirected,626,,,2
1395821,19099170,Undirected,627,,,2
1395821,19136808,Undirected,628,,,2
1395821,19745720,Undirected,629,,,2
1395821,20811923,Undirected,630,,,2
1395821,22451470,Undirected,631,,,2
1395821,22789877,Undirected,632,,,2
1395821,23309704,Undirected,633,,,2
1395821,25706119,Undirected,634,,,2
1395821,30651178,Undirected,635,,,2
1395821,31872271,Undirected,636,,,2
1395821,32796487,Undirected,637,,,2
1395821,33394936,Undirected,638,,,2
1395821,42210012,Undirected,639,,,2
1395821,44514142,Undirected,640,,,2
1395821,48038134,Undirected,641,,,2
1395821,48850658,Undirected,642,,,2
1395821,49032796,Undirected,643,,,2
1395821,49433396,Undirected,644,,,2
1395821,49793485,Undirected,645,,,2
1395821,52148726,Undirected,646,,,2
1395821,59451577,Undirected,647,,,2
1395821,75322706,Undirected,648,,,2
1395821,96126473,Undirected,649,,,2
1395821,98274826,Undirected,650,,,2
1395821,101346468,Undirected,651,,,2
1395821,108393518,Undirected,652,,,2
1395821,113982692,Undirected,653,,,2
1395821,114762632,Undirected,654,,,2
1395821,124241430,Undirected,655,,,2
1395821,125598382,Undirected,656,,,2
1395821,137906902,Undirected,657,,,2
1395821,138272723,Undirected,658,,,2
1395821,146939479,Undirected,659,,,2
1395821,146992144,Undirected,660,,,2
1395821,153417406,Undirected,661,,,2
1395821,154794974,Undirected,662,,,2
1395821,157965039,Undirected,663,,,2
1395821,174031945,Undirected,664,,,2
1395821,187799339,Undirected,665,,,2
1395821,199888637,Undirected,666,,,2
1395821,206024122,Undirected,667,,,2
1395821,233150585,Undirected,668,,,2
1395821,252291653,Undirected,669,,,2
1395821,254462247,Undirected,670,,,2
1395821,322568588,Undirected,671,,,2
1395821,331380926,Undirected,672,,,2
1417699,1425541,Undirected,681,,,2
1417699,1430840,Undirected,682,,,2
1417699,1638025,Undirected,683,,,2
1417699,1679574,Undirected,684,,,2
1417699,2039463,Undirected,685,,,2
1417699,2584344,Undirected,686,,,2
1417699,2841269,Undirected,687,,,2
1417699,2945452,Undirected,688,,,2
1417699,2953646,Undirected,689,,,2
1417699,3768701,Undirected,690,,,1
1417699,3773555,Undirected,691,,,2
1417699,4172255,Undirected,692,,,2
